srcIP,srcPort,dstIP,dstPort,protocol,mean,var,max,min,flowSize
41.177.202.202,53,41.177.98.57,50828,UDP,275.0,0.0,275,275,275
151.77.39.25,7040,244.3.160.239,80,TCP,272.3333333333333,213277.8888888889,1300,40,1634
244.3.160.239,80,151.77.39.25,7040,TCP,66.33333333333333,3067.2222222222226,190,40,398
151.77.39.25,3402,244.3.160.239,80,TCP,241.0,189168.2857142857,1300,40,1687
244.3.160.239,80,151.77.39.25,3402,TCP,288.25,175056.4375,1300,40,2306
151.77.39.25,6600,244.3.160.239,80,TCP,215.0,170011.0,1300,40,1720
244.3.160.239,80,151.77.39.25,6600,TCP,394.77777777777777,255177.28395061727,1300,40,3553
244.3.160.239,64826,41.43.180.128,80,TCP,261.14285714285717,256533.55102040814,1500,40,1828
244.3.48.41,9887,244.3.160.239,80,TCP,692.0,404592.8,1420,40,6920
244.3.160.239,80,244.3.48.41,9887,TCP,500.9,283270.69,1420,40,5009
244.3.160.239,64828,41.43.180.128,80,TCP,694.7,457475.61000000004,1500,40,6947
244.3.160.239,64829,244.3.31.108,80,TCP,225.71428571428572,203985.6326530612,1332,40,1580
244.3.31.108,80,244.3.160.239,64829,TCP,372.6666666666667,291074.2222222222,1500,40,2236
244.3.160.239,64830,244.3.31.108,80,TCP,201.625,180288.484375,1325,40,1613
244.3.31.108,80,244.3.160.239,64830,TCP,497.57142857142856,410469.67346938775,1500,40,3483
41.43.180.128,80,244.3.160.239,64826,TCP,207.66666666666666,139224.55555555556,1042,40,1246
41.43.180.128,80,244.3.160.239,64828,TCP,478.4,447287.04000000004,1500,40,4784
244.3.48.41,8475,244.3.160.239,80,TCP,271.6666666666667,263741.8888888889,1420,40,1630
244.3.160.239,80,244.3.48.41,8475,TCP,58.166666666666664,1380.8055555555557,141,40,349
244.3.160.239,64831,41.43.180.128,80,TCP,276.1666666666667,275116.1388888889,1449,40,1657
77.197.210.2,54713,41.177.26.176,80,TCP,80.0,12174.222222222223,392,40,720
41.177.26.176,80,77.197.210.2,54713,TCP,861.3,352446.41,1500,40,8613
41.43.180.128,80,244.3.160.239,64831,TCP,72.6,3996.6399999999994,199,40,363
41.177.98.57,50829,41.177.202.202,53,UDP,72.0,0.0,72,72,72
41.177.202.202,53,41.177.98.57,50829,UDP,299.0,0.0,299,299,299
41.177.98.57,50830,41.177.202.202,53,UDP,81.0,0.0,81,81,81
41.177.202.202,53,41.177.98.57,50830,UDP,275.0,0.0,275,275,275
41.177.98.57,50831,41.177.202.202,53,UDP,81.0,0.0,81,81,81
41.177.202.202,53,41.177.98.57,50831,UDP,275.0,0.0,275,275,275
244.3.48.41,12827,244.3.160.239,80,TCP,313.4,294641.44,1399,40,1567
244.3.160.239,80,244.3.48.41,12827,TCP,61.8,1577.7599999999998,141,40,309
244.3.160.239,64832,41.43.180.128,80,TCP,272.3333333333333,266197.88888888893,1426,40,1634
41.177.26.176,80,215.224.151.209,52061,TCP,40.0,0.0,40,40,40
41.177.98.98,25,151.82.132.181,4711,TCP,48.0,0.0,48,48,96
151.77.39.25,6463,244.3.160.239,80,TCP,196.11111111111111,154121.87654320986,1300,40,1765
244.3.160.239,80,151.77.39.25,6463,TCP,610.2,333593.96,1300,40,6102
244.3.160.239,64833,244.3.31.108,80,TCP,202.25,181695.4375,1330,40,1618
244.3.31.108,80,244.3.160.239,64833,TCP,754.125,508836.609375,1500,40,6033
41.177.98.57,50832,41.177.202.202,53,UDP,72.0,0.0,72,72,72
