srcIP,srcPort,dstIP,dstPort,protocol,mean,var,max,min,flowSize
41.177.98.92,22,244.3.90.4,59984,TCP,495.6,374900.64,1420,52,4956
244.3.153.209,4213,244.3.176.224,445,TCP,49.9,342.09,103,40,499
244.3.90.4,59984,41.177.98.92,22,TCP,106.4,1751.0399999999997,164,52,1064
244.3.176.224,445,244.3.153.209,4213,TCP,1190.0,0.0,1190,1190,11900
41.177.241.46,443,151.77.15.155,3891,UDP,1273.0,0.0,1273,1273,12730
244.3.210.98,137,244.3.210.176,137,UDP,78.0,0.0,78,78,624
41.43.180.128,80,244.3.160.239,64767,TCP,40.0,0.0,40,40,40
151.77.15.155,3891,41.177.241.46,443,UDP,125.8,53.760000000000005,137,121,1258
41.177.3.224,65238,41.177.117.184,1613,TCP,334.6,13305.84,453,40,3346
77.197.210.122,62986,41.177.26.176,80,TCP,40.0,0.0,40,40,40
244.3.90.4,20714,41.177.98.92,5632,TCP,80.0,0.0,80,80,800
253.160.239.39,1521,253.37.253.167,63511,TCP,206.7,6949.8099999999995,251,40,2067
77.197.210.106,55305,41.177.26.176,80,TCP,85.0,11448.285714285714,347,40,595
41.177.26.176,80,77.197.210.106,55305,TCP,1084.9,331792.48999999993,1500,40,10849
77.197.217.218,7554,41.177.26.176,80,TCP,40.0,0.0,40,40,200
41.177.26.176,80,77.197.217.218,7554,TCP,1178.4285714285713,221350.2448979592,1500,207,8249
41.177.24.249,1985,210.218.218.164,1985,UDP,48.0,0.0,48,48,480
244.3.185.254,1151,41.177.98.220,7030,TCP,126.2,2941.9599999999996,230,40,1262
77.197.210.123,57560,41.177.26.176,80,TCP,40.0,0.0,40,40,160
41.177.26.176,80,77.197.210.123,57560,TCP,1067.7142857142858,161398.20408163266,1500,474,7474
41.177.204.41,1985,210.218.218.164,1985,UDP,48.0,0.0,48,48,480
244.3.153.209,4273,41.177.3.75,443,TCP,283.2,155280.75999999998,1190,40,2832
41.177.3.75,443,244.3.153.209,4273,TCP,960.0,211600.0,1190,40,9600
41.177.4.192,1985,210.218.218.164,1985,UDP,48.0,0.0,48,48,480
244.3.210.41,1985,210.218.218.164,1985,UDP,47.2,2.56,48,44,472
128.71.90.164,80,244.3.160.239,64766,TCP,1354.0,191844.0,1500,40,13540
177.176.39.176,2463,41.177.98.142,80,TCP,82.55555555555556,6767.802469135804,315,52,743
41.177.98.142,80,177.176.39.176,2463,TCP,812.5,397597.85,1420,52,8125
77.197.210.2,52627,41.177.26.176,80,TCP,40.0,0.0,40,40,160
41.177.26.176,80,77.197.210.2,52627,TCP,1465.0,1225.0,1500,1430,2930
244.3.93.198,1904,41.177.241.254,3389,TCP,40.0,0.0,40,40,400
244.3.34.194,34028,41.177.26.210,22,TCP,76.0,576.0,100,52,760
41.177.26.210,22,244.3.34.194,34028,TCP,100.0,0.0,100,100,1000
41.177.46.192,1985,210.218.218.164,1985,UDP,48.0,0.0,48,48,480
244.3.4.192,1985,210.218.218.164,1985,UDP,48.0,0.0,48,48,480
80.132.186.142,57270,41.177.26.91,80,TCP,75.2,4485.76,276,52,752
41.177.26.91,80,80.132.186.142,57270,TCP,1191.6,324769.44,1500,52,11916
16.176.93.164,3939,244.3.160.239,80,TCP,40.0,0.0,40,40,80
41.177.26.15,80,77.197.210.247,56315,TCP,1470.4,7885.44,1500,1204,14704
244.3.160.239,80,16.176.93.164,3939,TCP,40.0,0.0,40,40,40
106.37.77.3,49867,41.177.26.46,80,TCP,46.0,36.0,52,40,184
41.177.26.46,80,106.37.77.3,49867,TCP,52.0,0.0,52,52,104
41.177.98.57,50316,41.177.202.202,53,UDP,72.0,0.0,72,72,72
77.197.210.122,63256,41.177.26.176,80,TCP,85.14285714285714,11523.265306122456,348,40,596
41.177.26.176,80,77.197.210.122,63256,TCP,1012.0,319085.6,1500,40,10120
244.3.160.239,64766,128.71.90.164,80,TCP,40.0,0.0,40,40,400
41.177.202.202,53,41.177.98.57,50316,UDP,299.0,0.0,299,299,299
244.3.141.201,1985,210.218.218.164,1985,UDP,48.0,0.0,48,48,480
41.177.98.57,50317,41.177.202.202,53,UDP,81.0,0.0,81,81,81
41.177.202.202,53,41.177.98.57,50317,UDP,275.0,0.0,275,275,275
41.177.98.57,50318,41.177.202.202,53,UDP,81.0,0.0,81,81,81
41.177.202.202,53,41.177.98.57,50318,UDP,275.0,0.0,275,275,275
244.3.160.239,80,41.177.159.26,6626,TCP,1019.4,170354.04,1420,426,10194
41.177.159.26,6626,244.3.160.239,80,TCP,52.0,0.0,52,52,520
117.194.224.181,1887,244.3.210.197,80,TCP,496.3,138815.00999999998,805,40,4963
41.177.241.254,1040,41.177.241.176,1100,UDP,133.0,0.0,133,133,1330
244.3.210.197,80,117.194.224.181,1887,TCP,252.8,0.16,253,252,2528
77.197.210.67,37572,41.177.26.176,80,TCP,40.0,0.0,40,40,80
41.106.176.15,28445,41.177.241.46,443,TCP,135.5,5878.25,302,40,1355
244.3.210.197,80,68.157.168.82,59520,TCP,1355.2,188703.36000000004,1500,52,13552
151.77.15.118,1687,41.177.241.46,443,UDP,193.0,2470.4,329,121,1930
244.3.153.33,137,244.3.31.251,137,UDP,96.0,0.0,96,96,960
253.37.253.167,63511,253.160.239.39,1521,TCP,83.3,0.8099999999999999,86,83,833
41.177.180.204,1985,210.218.218.164,1985,UDP,47.6,1.44,48,44,476
41.106.180.77,1269,41.177.241.46,443,TCP,59.8,261.36,73,40,299
41.177.241.164,1985,210.218.218.164,1985,UDP,47.2,2.56,48,44,472
77.197.210.239,51637,41.177.26.176,80,TCP,79.5,10305.75,348,40,636
41.177.26.176,80,77.197.210.239,51637,TCP,983.5,340528.65,1500,40,9835
77.197.210.247,56315,41.177.26.15,80,TCP,40.0,0.0,40,40,280
77.197.210.2,53080,41.177.26.176,80,TCP,68.8,7016.960000000001,320,40,688
41.177.26.176,80,77.197.210.2,53080,TCP,450.1,201492.69000000003,1500,40,4501
176.41.89.90,80,244.3.160.239,62971,TCP,1357.9,34707.68999999999,1420,799,13579
244.3.160.239,62971,176.41.89.90,80,TCP,40.0,0.0,40,40,400
244.3.160.239,80,68.33.164.161,3227,TCP,1390.3,59727.61,1500,675,13903
41.177.72.41,1985,210.218.218.164,1985,UDP,47.2,2.56,48,44,472
41.177.26.176,80,77.197.210.160,31077,TCP,1156.7,153370.41,1500,402,11567
244.3.164.164,1985,210.218.218.164,1985,UDP,47.6,1.44,48,44,476
77.197.217.218,7731,41.177.26.176,80,TCP,84.9,17438.490000000005,481,40,849
41.177.26.176,80,77.197.217.218,7731,TCP,488.5,229601.05,1500,40,4885
41.177.117.186,1985,210.218.218.164,1985,UDP,48.0,0.0,48,48,480
16.176.93.164,5609,244.3.160.239,80,TCP,274.2,213835.35999999996,1199,40,1371
244.3.160.239,80,16.176.93.164,5609,TCP,89.4,8633.44,275,40,447
41.177.31.41,1985,210.218.218.164,1985,UDP,48.0,0.0,48,48,480
244.3.64.188,49908,41.177.241.46,443,UDP,177.0,64.0,185,169,1770
244.3.153.197,50753,41.177.230.130,137,UDP,78.0,0.0,78,78,780
244.3.160.248,52346,41.177.26.55,80,TCP,75.0,10477.8,382,40,750
41.177.26.55,80,244.3.160.248,52346,TCP,1027.7,387690.41000000003,1500,40,10277
41.177.26.214,56895,41.177.202.202,53,UDP,72.0,0.0,72,72,72
41.177.202.202,53,41.177.26.214,56895,UDP,240.0,0.0,240,240,240
41.177.26.214,56896,41.177.202.202,53,UDP,71.0,0.0,71,71,71
41.177.202.202,53,41.177.26.214,56896,UDP,129.0,0.0,129,129,129
41.177.26.214,56897,41.177.202.202,53,UDP,88.0,0.0,88,88,88
41.177.202.202,53,41.177.26.214,56897,UDP,146.0,0.0,146,146,146
41.177.26.214,56898,41.177.202.202,53,UDP,85.0,0.0,85,85,85
41.177.202.202,53,41.177.26.214,56898,UDP,138.0,0.0,138,138,138
41.177.26.214,56899,41.177.202.202,53,UDP,71.0,0.0,71,71,71
41.177.202.202,53,41.177.26.214,56899,UDP,216.0,0.0,216,216,216
253.244.230.201,1985,210.218.218.164,1985,UDP,47.6,1.44,48,44,476
41.177.26.192,1985,210.218.218.164,1985,UDP,48.0,0.0,48,48,480
41.177.31.192,1985,210.218.218.164,1985,UDP,48.0,0.0,48,48,480
41.177.98.57,50319,41.177.202.202,53,UDP,72.0,0.0,72,72,72
41.177.202.202,53,41.177.98.57,50319,UDP,299.0,0.0,299,299,299
41.177.98.57,50320,41.177.202.202,53,UDP,81.0,0.0,81,81,81
41.177.202.202,53,41.177.98.57,50320,UDP,275.0,0.0,275,275,275
41.177.98.57,50321,41.177.202.202,53,UDP,81.0,0.0,81,81,81
41.177.202.202,53,41.177.98.57,50321,UDP,275.0,0.0,275,275,275
77.197.210.160,31077,41.177.26.176,80,TCP,40.0,0.0,40,40,200
244.3.39.41,1985,210.218.218.164,1985,UDP,47.2,2.56,48,44,472
41.177.83.214,1985,210.218.218.164,1985,UDP,48.0,0.0,48,48,480
253.37.253.43,12003,253.160.108.225,12003,UDP,86.8,39.959999999999994,93,71,868
41.177.98.57,50322,41.177.202.202,53,UDP,72.0,0.0,72,72,72
41.177.202.202,53,41.177.98.57,50322,UDP,299.0,0.0,299,299,299
41.177.98.57,50323,41.177.202.202,53,UDP,81.0,0.0,81,81,81
41.177.202.202,53,41.177.98.57,50323,UDP,275.0,0.0,275,275,275
41.177.98.57,50324,41.177.202.202,53,UDP,81.0,0.0,81,81,81
41.177.202.202,53,41.177.98.57,50324,UDP,275.0,0.0,275,275,275
41.177.98.57,50325,41.177.202.202,53,UDP,72.0,0.0,72,72,72
41.177.202.202,53,41.177.98.57,50325,UDP,299.0,0.0,299,299,299
41.177.98.57,50326,41.177.202.202,53,UDP,81.0,0.0,81,81,81
41.177.202.202,53,41.177.98.57,50326,UDP,275.0,0.0,275,275,275
41.177.98.57,50327,41.177.202.202,53,UDP,81.0,0.0,81,81,81
41.177.202.202,53,41.177.98.57,50327,UDP,275.0,0.0,275,275,275
41.106.176.15,41343,41.177.241.46,443,TCP,167.6,2985.84,227,40,1676
41.177.241.46,443,41.106.176.15,41343,TCP,70.3,3802.409999999999,217,40,703
244.3.153.77,137,244.3.31.251,137,UDP,96.0,0.0,96,96,384
244.3.31.192,1985,210.218.218.164,1985,UDP,48.0,0.0,48,48,480
68.33.164.161,3227,244.3.160.239,80,TCP,52.0,0.0,52,52,520
77.197.210.67,37867,41.177.26.176,80,TCP,75.4,10724.840000000002,386,40,754
41.177.26.176,80,77.197.210.67,37867,TCP,420.4,191900.23999999996,1500,40,4204
244.3.160.41,1985,210.218.218.164,1985,UDP,46.8,3.3599999999999994,48,44,468
77.197.210.123,57910,41.177.26.176,80,TCP,85.28571428571429,11598.48979591837,349,40,597
41.177.26.176,80,77.197.210.123,57910,TCP,1086.8,321486.36,1500,40,10868
41.177.3.224,51307,41.177.117.184,1605,TCP,302.8,24853.159999999996,459,40,3028
41.177.3.224,51312,41.177.117.184,1605,TCP,302.8,24853.159999999996,459,40,3028
41.177.117.184,1605,41.177.3.224,51307,TCP,262.8,15128.560000000001,430,62,2628
41.177.117.184,1605,41.177.3.224,51312,TCP,262.6,15094.84,430,62,2626
244.3.251.51,1985,210.218.218.164,1985,UDP,47.6,1.44,48,44,476
41.177.3.224,51306,41.177.117.184,1605,TCP,302.8,24853.159999999996,459,40,3028
41.177.117.184,1605,41.177.3.224,51306,TCP,270.8,14823.16,430,62,2708
40.193.220.98,8482,41.177.241.46,4500,UDP,360.4,187297.44,1248,104,3604
244.3.153.13,137,244.3.31.251,137,UDP,96.0,0.0,96,96,480
41.177.159.26,8445,244.3.160.239,80,TCP,198.83333333333334,104324.13888888888,921,52,1193
244.3.160.239,80,41.177.159.26,8445,TCP,213.8,100891.36000000002,849,52,1069
16.176.93.164,6109,244.3.160.239,80,TCP,40.0,0.0,40,40,120
244.3.160.239,80,16.176.93.164,6109,TCP,40.0,0.0,40,40,80
244.3.160.239,64769,128.71.90.164,80,TCP,183.16666666666666,100214.13888888892,891,40,1099
41.177.98.57,50328,41.177.202.202,53,UDP,72.0,0.0,72,72,72
41.177.202.202,53,41.177.98.57,50328,UDP,299.0,0.0,299,299,299
41.177.98.57,50329,41.177.202.202,53,UDP,81.0,0.0,81,81,81
41.177.202.202,53,41.177.98.57,50329,UDP,275.0,0.0,275,275,275
41.177.98.57,50330,41.177.202.202,53,UDP,81.0,0.0,81,81,81
41.177.202.202,53,41.177.98.57,50330,UDP,275.0,0.0,275,275,275
41.177.98.57,50331,41.177.202.202,53,UDP,69.0,0.0,69,69,69
41.177.202.202,53,41.177.98.57,50331,UDP,214.0,0.0,214,214,214
68.157.168.82,59520,244.3.210.197,80,TCP,52.0,0.0,52,52,520
41.177.98.57,50332,41.177.202.202,53,UDP,72.0,0.0,72,72,72
41.177.202.202,53,41.177.98.57,50332,UDP,299.0,0.0,299,299,299
41.177.98.57,50333,41.177.202.202,53,UDP,81.0,0.0,81,81,81
41.177.202.202,53,41.177.98.57,50333,UDP,275.0,0.0,275,275,275
41.106.180.77,42636,41.177.241.46,443,UDP,261.8,114831.35999999999,1273,121,2618
41.177.98.57,50334,41.177.202.202,53,UDP,81.0,0.0,81,81,81
41.177.202.202,53,41.177.98.57,50334,UDP,275.0,0.0,275,275,275
244.3.153.252,3035,41.177.24.241,443,TCP,193.88888888888889,125140.09876543208,1190,40,1745
244.3.153.116,514,41.177.230.117,514,UDP,212.9,102.09,227,200,2129
41.177.24.241,443,244.3.153.252,3035,TCP,225.66666666666666,130783.11111111111,1190,40,2031
41.177.241.46,443,41.106.180.77,42636,UDP,292.2,121090.55999999998,1273,121,2922
41.177.241.46,443,41.106.176.15,28445,TCP,82.0,9164.222222222223,345,40,738
244.3.153.40,137,244.3.153.91,137,UDP,78.0,0.0,78,78,702
41.177.117.138,1985,210.218.218.164,1985,UDP,48.0,0.0,48,48,480
41.177.98.57,50335,41.177.202.202,53,UDP,72.0,0.0,72,72,72
41.177.202.202,53,41.177.98.57,50335,UDP,238.0,0.0,238,238,238
41.177.98.57,50336,41.177.202.202,53,UDP,69.0,0.0,69,69,69
41.177.244.192,1985,210.218.218.164,1985,UDP,48.0,0.0,48,48,480
41.177.202.202,53,41.177.98.57,50336,UDP,214.0,0.0,214,214,214
41.177.98.57,50337,41.177.202.202,53,UDP,69.0,0.0,69,69,69
41.177.202.202,53,41.177.98.57,50337,UDP,214.0,0.0,214,214,214
244.3.160.204,36809,244.3.160.89,4001,TCP,44.0,0.0,44,44,44
244.3.160.89,4001,244.3.160.204,36809,TCP,40.0,0.0,40,40,40
244.3.160.204,36810,244.3.160.89,4002,TCP,44.0,0.0,44,44,44
244.3.160.89,4002,244.3.160.204,36810,TCP,40.0,0.0,40,40,40
244.3.160.204,36811,244.3.160.89,2048,TCP,44.0,0.0,44,44,44
244.3.160.89,2048,244.3.160.204,36811,TCP,40.0,0.0,40,40,40
244.3.160.204,36812,244.3.160.89,80,TCP,41.0,3.0,44,40,164
244.3.160.89,80,244.3.160.204,36812,TCP,41.333333333333336,3.5555555555555554,44,40,124
244.3.164.209,1985,210.218.218.164,1985,UDP,47.2,2.56,48,44,472
244.3.160.204,36813,244.3.160.89,443,TCP,50.4,355.84,88,40,252
244.3.160.89,443,244.3.160.204,36813,TCP,413.625,393834.484375,1500,40,3309
244.3.160.204,36814,244.3.160.89,2784,TCP,44.0,0.0,44,44,44
244.3.160.89,2784,244.3.160.204,36814,TCP,40.0,0.0,40,40,40
244.3.160.204,36815,244.3.160.254,4000,TCP,41.0,3.0,44,40,164
244.3.160.254,4000,244.3.160.204,36815,TCP,41.333333333333336,3.5555555555555554,44,40,124
244.3.160.204,36816,244.3.160.254,4001,TCP,44.0,0.0,44,44,44
244.3.160.254,4001,244.3.160.204,36816,TCP,40.0,0.0,40,40,40
244.3.160.204,36817,244.3.160.254,4002,TCP,44.0,0.0,44,44,44
244.3.160.254,4002,244.3.160.204,36817,TCP,40.0,0.0,40,40,40
244.3.160.204,36818,244.3.160.254,2048,TCP,44.0,0.0,44,44,44
244.3.160.254,2048,244.3.160.204,36818,TCP,40.0,0.0,40,40,40
244.3.160.204,36819,244.3.160.254,443,TCP,41.0,3.0,44,40,164
244.3.160.254,443,244.3.160.204,36819,TCP,41.333333333333336,3.5555555555555554,44,40,124
244.3.160.204,36820,244.3.160.254,80,TCP,41.0,3.0,44,40,164
244.3.160.254,80,244.3.160.204,36820,TCP,41.333333333333336,3.5555555555555554,44,40,124
244.3.160.204,36821,244.3.160.239,443,TCP,41.0,3.0,44,40,164
244.3.160.239,443,244.3.160.204,36821,TCP,41.333333333333336,3.5555555555555554,44,40,124
244.3.160.204,36822,244.3.160.239,8080,TCP,44.0,0.0,44,44,44
244.3.160.239,8080,244.3.160.204,36822,TCP,40.0,0.0,40,40,40
244.3.160.204,36823,244.3.160.239,80,TCP,41.0,3.0,44,40,164
244.3.160.239,80,244.3.160.204,36823,TCP,41.333333333333336,3.5555555555555554,44,40,124
244.3.153.252,2892,244.3.40.84,443,TCP,40.0,0.0,40,40,40
41.177.26.176,80,77.197.210.176,58217,TCP,952.2,243736.76,1500,293,9522
128.71.90.164,80,244.3.160.239,64769,TCP,353.0,288931.0,1284,40,1412
41.177.98.57,50338,41.177.202.202,53,UDP,69.0,0.0,69,69,69
41.177.202.202,53,41.177.98.57,50338,UDP,214.0,0.0,214,214,214
41.177.98.57,50339,41.177.202.202,53,UDP,72.0,0.0,72,72,72
41.177.202.202,53,41.177.98.57,50339,UDP,238.0,0.0,238,238,238
41.177.98.57,50340,41.177.202.202,53,UDP,69.0,0.0,69,69,69
41.177.202.202,53,41.177.98.57,50340,UDP,214.0,0.0,214,214,214
41.177.98.57,50341,41.177.202.202,53,UDP,69.0,0.0,69,69,69
41.177.202.202,53,41.177.98.57,50341,UDP,214.0,0.0,214,214,214
41.177.98.57,50342,41.177.202.202,53,UDP,69.0,0.0,69,69,69
41.177.202.202,53,41.177.98.57,50342,UDP,214.0,0.0,214,214,214
41.177.98.57,50343,41.177.202.202,53,UDP,72.0,0.0,72,72,72
41.177.202.202,53,41.177.98.57,50343,UDP,238.0,0.0,238,238,238
41.177.98.57,50344,41.177.202.202,53,UDP,69.0,0.0,69,69,69
41.177.202.202,53,41.177.98.57,50344,UDP,214.0,0.0,214,214,214
41.177.98.57,50345,41.177.202.202,53,UDP,69.0,0.0,69,69,69
41.177.202.202,53,41.177.98.57,50345,UDP,214.0,0.0,214,214,214
41.177.26.91,80,15.186.110.132,52030,TCP,1500.0,0.0,1500,1500,15000
253.37.253.43,446,253.160.251.90,2348,TCP,232.57142857142858,118293.38775510204,1042,40,1628
41.106.176.15,30525,41.177.241.46,443,TCP,186.0,12573.8,374,40,1860
41.177.241.46,443,41.106.176.15,30525,TCP,75.2,5319.160000000001,282,40,752
41.177.18.186,1985,210.218.218.164,1985,UDP,48.0,0.0,48,48,480
68.157.168.111,41031,41.177.26.176,80,TCP,90.0,12996.0,432,52,900
77.197.210.160,31414,41.177.26.176,80,TCP,77.4,8777.64,358,40,774
41.177.26.176,80,77.197.210.160,31414,TCP,1008.0,306441.4,1500,40,10080
176.41.89.121,80,244.3.160.239,63151,TCP,1357.9,34707.68999999999,1420,799,13579
244.3.160.239,63151,176.41.89.121,80,TCP,40.0,0.0,40,40,400
244.3.160.239,80,41.177.40.117,5920,TCP,1365.9,63829.29,1500,639,13659
41.177.40.117,5920,244.3.160.239,80,TCP,40.0,0.0,40,40,400
41.106.176.15,40923,41.177.241.46,443,TCP,160.0,2965.2,221,40,1600
41.177.241.46,443,41.106.176.15,40923,TCP,61.9,1119.0900000000001,113,40,619
244.3.153.55,2637,244.3.176.118,3389,TCP,99.5,1371.45,148,57,995
15.186.110.132,52030,41.177.26.91,80,TCP,52.0,0.0,52,52,520
77.197.210.176,58217,41.177.26.176,80,TCP,40.0,0.0,40,40,120
244.3.153.197,54690,41.177.230.130,137,UDP,96.0,0.0,96,96,960
41.177.230.164,1985,210.218.218.164,1985,UDP,48.0,0.0,48,48,480
244.3.4.164,1985,210.218.218.164,1985,UDP,46.8,3.3599999999999994,48,44,468
244.3.210.192,1985,210.218.218.164,1985,UDP,48.0,0.0,48,48,480
41.177.161.192,1985,210.218.218.164,1985,UDP,48.0,0.0,48,48,480
253.244.230.213,1985,210.218.218.164,1985,UDP,48.0,0.0,48,48,480
41.177.98.121,42626,41.177.26.209,514,UDP,174.4,4.24,176,171,1744
117.194.177.165,15960,244.3.160.239,80,TCP,224.2,118611.35999999996,913,52,1121
246.142.244.160,32775,246.142.91.91,9900,UDP,532.0,0.0,532,532,532
41.177.230.156,32775,41.177.230.91,9900,UDP,532.0,0.0,532,532,2128
244.3.160.239,80,117.194.177.165,15960,TCP,207.75,72774.1875,675,52,831
145.95.225.186,1985,210.218.218.164,1985,UDP,48.0,0.0,48,48,480
41.177.98.57,50346,41.177.202.202,53,UDP,72.0,0.0,72,72,72
41.177.202.202,53,41.177.98.57,50346,UDP,299.0,0.0,299,299,299
41.177.98.57,50347,41.177.202.202,53,UDP,81.0,0.0,81,81,81
41.177.202.202,53,41.177.98.57,50347,UDP,275.0,0.0,275,275,275
41.177.98.57,50348,41.177.202.202,53,UDP,81.0,0.0,81,81,81
41.177.202.202,53,41.177.98.57,50348,UDP,275.0,0.0,275,275,275
16.176.93.164,10585,244.3.160.239,80,TCP,274.4,214205.44,1200,40,1372
244.3.160.239,80,16.176.93.164,10585,TCP,89.4,8633.44,275,40,447
41.177.26.176,80,68.157.168.111,41031,TCP,887.3,338419.00999999995,1500,52,8873
168.117.3.145,8603,244.3.160.239,80,TCP,212.66666666666666,146327.55555555553,1068,40,1276
244.3.160.239,80,168.117.3.145,8603,TCP,386.57142857142856,251450.81632653062,1492,40,2706
244.3.176.15,1985,210.218.218.164,1985,UDP,48.0,0.0,48,48,480
244.3.210.197,80,85.151.95.165,32456,TCP,40.0,0.0,40,40,40
244.3.210.197,80,85.151.95.165,32731,TCP,40.0,0.0,40,40,40
244.3.210.197,80,85.151.95.165,32724,TCP,40.0,0.0,40,40,40
244.3.210.197,80,85.151.95.165,32730,TCP,40.0,0.0,40,40,40
244.3.210.197,80,85.151.95.165,32723,TCP,40.0,0.0,40,40,40
244.3.210.197,80,85.151.95.165,32721,TCP,40.0,0.0,40,40,40
244.3.160.254,123,244.157.67.98,123,UDP,76.0,0.0,76,76,76
244.157.67.98,123,244.3.160.254,123,UDP,76.0,0.0,76,76,76
15.186.110.142,41790,41.177.26.176,80,TCP,99.9,19896.090000000004,523,52,999
41.177.26.176,80,15.186.110.142,41790,TCP,533.3,220061.81,1500,52,5333
244.3.160.239,64770,41.43.180.128,80,TCP,239.5,195830.58333333334,1229,40,1437
244.3.160.239,64771,122.248.218.117,80,TCP,198.28571428571428,147811.91836734698,1140,40,1388
41.43.180.128,80,244.3.160.239,64770,TCP,106.8,17320.96,370,40,534
41.177.241.46,4500,40.193.220.98,8482,UDP,546.0,270628.0,1248,104,5460
41.177.116.204,1985,210.218.218.164,1985,UDP,47.6,1.44,48,44,476
244.3.210.254,5900,41.177.244.177,56182,TCP,272.0,23578.0,681,149,2720
41.177.244.177,56182,244.3.210.254,5900,TCP,52.0,0.0,52,52,520
41.177.98.57,50349,41.177.202.202,53,UDP,69.0,0.0,69,69,69
41.177.202.202,53,41.177.98.57,50349,UDP,214.0,0.0,214,214,214
41.177.98.57,50350,41.177.202.202,53,UDP,72.0,0.0,72,72,72
41.177.202.202,53,41.177.98.57,50350,UDP,289.0,0.0,289,289,289
41.177.98.57,50351,41.177.202.202,53,UDP,70.0,0.0,70,70,70
41.177.202.202,53,41.177.98.57,50351,UDP,265.0,0.0,265,265,265
41.177.98.57,50352,41.177.202.202,53,UDP,70.0,0.0,70,70,70
41.177.202.202,53,41.177.98.57,50352,UDP,265.0,0.0,265,265,265
244.3.210.254,5900,41.177.244.185,51175,TCP,305.3,53730.409999999996,757,170,3053
41.177.98.98,32769,41.177.26.209,514,UDP,116.2,53.760000000000005,130,110,1162
41.177.244.185,51175,244.3.210.254,5900,TCP,52.0,0.0,52,52,520
244.3.41.41,1985,210.218.218.164,1985,UDP,48.0,0.0,48,48,480
41.177.3.224,50412,41.177.117.184,1613,TCP,194.5,23870.25,349,40,1945
41.177.117.184,1613,41.177.3.224,50412,TCP,529.4,88144.84,1420,429,5294
151.77.15.128,1150,41.177.241.46,443,UDP,255.4,68055.04000000001,1033,121,2554
244.3.153.48,137,41.177.230.130,137,UDP,96.0,0.0,96,96,960
244.3.176.118,3389,244.3.153.55,2637,TCP,40.0,0.0,40,40,400
244.3.251.164,1985,210.218.218.164,1985,UDP,48.0,0.0,48,48,480
41.177.98.57,50353,41.177.202.202,53,UDP,72.0,0.0,72,72,72
41.177.202.202,53,41.177.98.57,50353,UDP,238.0,0.0,238,238,238
41.177.98.57,50354,41.177.202.202,53,UDP,69.0,0.0,69,69,69
41.177.202.202,53,41.177.98.57,50354,UDP,214.0,0.0,214,214,214
41.177.98.57,50355,41.177.202.202,53,UDP,69.0,0.0,69,69,69
41.177.202.202,53,41.177.98.57,50355,UDP,214.0,0.0,214,214,214
122.248.218.117,80,244.3.160.239,64771,TCP,482.0,395129.3333333333,1500,40,2892
151.77.39.25,2672,244.3.160.239,80,TCP,150.9,108927.69000000002,1141,40,1509
244.3.160.239,80,151.77.39.25,2672,TCP,768.6,219380.44000000003,1300,40,7686
244.3.160.239,64772,225.116.91.43,80,TCP,137.5,84009.05,1007,40,1375
253.37.253.251,2886,253.160.108.127,80,TCP,248.33333333333334,83514.88888888888,657,40,745
253.160.108.127,80,253.37.253.251,2886,TCP,44.0,16.0,48,40,88
41.177.26.176,80,15.128.184.13,14091,TCP,706.8,260894.96000000002,1420,143,7068
41.177.108.68,1985,210.218.218.164,1985,UDP,48.0,0.0,48,48,480
41.177.98.57,50356,41.177.202.202,53,UDP,69.0,0.0,69,69,69
41.177.202.202,53,41.177.98.57,50356,UDP,214.0,0.0,214,214,214
41.177.98.57,50357,41.177.202.202,53,UDP,72.0,0.0,72,72,72
41.177.202.202,53,41.177.98.57,50357,UDP,238.0,0.0,238,238,238
41.177.98.57,50358,41.177.202.202,53,UDP,69.0,0.0,69,69,69
41.177.202.202,53,41.177.98.57,50358,UDP,214.0,0.0,214,214,214
244.3.153.197,54010,41.177.230.130,137,UDP,78.0,0.0,78,78,780
41.177.98.57,50359,41.177.202.202,53,UDP,69.0,0.0,69,69,69
41.177.202.202,53,41.177.98.57,50359,UDP,214.0,0.0,214,214,214
41.106.180.77,30882,41.177.241.46,443,UDP,209.0,7744.0,297,121,2090
244.3.153.177,1554,41.177.117.203,1632,TCP,124.0,7056.0,208,40,1240
41.177.117.203,1632,244.3.153.177,1554,TCP,121.0,0.0,121,121,1210
41.177.241.46,443,41.106.180.77,30882,UDP,188.2,706.56,201,121,1882
225.116.91.43,80,244.3.160.239,64772,TCP,1056.0,348232.6,1500,40,10560
41.177.98.57,50360,41.177.202.202,53,UDP,69.0,0.0,69,69,69
41.177.202.202,53,41.177.98.57,50360,UDP,214.0,0.0,214,214,214
41.177.3.164,1985,210.218.218.164,1985,UDP,47.2,2.56,48,44,472
41.177.98.57,50361,41.177.202.202,53,UDP,72.0,0.0,72,72,72
41.177.202.202,53,41.177.98.57,50361,UDP,238.0,0.0,238,238,238
41.177.98.57,50362,41.177.202.202,53,UDP,69.0,0.0,69,69,69
41.177.202.202,53,41.177.98.57,50362,UDP,214.0,0.0,214,214,214
41.177.98.57,50363,41.177.202.202,53,UDP,69.0,0.0,69,69,69
41.177.202.202,53,41.177.98.57,50363,UDP,214.0,0.0,214,214,214
244.3.41.186,1985,210.218.218.164,1985,UDP,48.0,0.0,48,48,480
145.95.41.192,1985,210.218.218.164,1985,UDP,48.0,0.0,48,48,480
