srcIP,srcPort,dstIP,dstPort,protocol,flowSize,pkt-size-0,pkt-size-1,pkt-size-2,pkt-size-3,pkt-size-4,pkt-size-5,pkt-size-6,pkt-size-7,pkt-size-8,pkt-size-9
41.177.202.202,53,41.177.98.57,61131,UDP,299,299,0,0,0,0,0,0,0,0,0
41.177.98.57,61132,41.177.202.202,53,UDP,81,81,0,0,0,0,0,0,0,0,0
41.177.202.202,53,41.177.98.57,61132,UDP,275,275,0,0,0,0,0,0,0,0,0
41.177.98.57,61133,41.177.202.202,53,UDP,81,81,0,0,0,0,0,0,0,0,0
41.177.202.202,53,41.177.98.57,61133,UDP,275,275,0,0,0,0,0,0,0,0,0
128.71.90.164,80,244.3.160.239,33373,TCP,1746,48,1500,78,40,40,40,0,0,0,0
41.177.211.185,4394,244.3.160.239,80,TCP,1361,48,40,1153,40,40,40,0,0,0,0
244.3.160.239,80,41.177.211.185,4394,TCP,915,48,40,373,374,40,40,0,0,0,0
90.210.201.218,55916,244.3.210.197,80,TCP,3162,64,52,757,52,52,52,52,52,52,907
244.3.210.197,80,90.210.201.218,55916,TCP,47780,64,52,1500,1500,1500,1500,1500,1500,1500,1500
244.3.41.84,23,41.177.93.84,1213,TCP,8315,40,1420,374,1019,40,1420,374,40,1420,374
244.3.160.239,33374,30.222.71.108,80,TCP,1254,48,40,1046,40,40,40,0,0,0,0
30.222.71.108,80,244.3.160.239,33372,TCP,662,48,40,534,40,0,0,0,0,0,0
244.3.210.255,1936,254.111.211.197,25,TCP,20113,48,40,64,74,73,46,1500,1500,1500,1500
244.3.153.197,55011,41.177.230.130,137,UDP,78,78,0,0,0,0,0,0,0,0,0
244.3.153.248,55058,244.3.202.202,53,UDP,65,65,0,0,0,0,0,0,0,0,0
244.3.202.202,53,244.3.153.248,55058,UDP,479,479,0,0,0,0,0,0,0,0,0
244.3.153.248,58083,244.3.202.202,53,UDP,65,65,0,0,0,0,0,0,0,0,0
244.3.202.202,53,244.3.153.248,58083,UDP,199,199,0,0,0,0,0,0,0,0,0
254.111.211.197,25,244.3.210.255,1936,TCP,1413,48,100,40,124,48,48,54,40,40,40
30.222.71.108,80,244.3.160.239,33374,TCP,903,48,40,775,40,0,0,0,0,0,0
145.95.142.197,13360,244.3.160.239,80,TCP,2586,52,40,1254,40,40,40,40,40,40,40
