srcIP,srcPort,dstIP,dstPort,protocol,flowSize,pkt-size-0,pkt-size-1,pkt-size-2,pkt-size-3,pkt-size-4,pkt-size-5,pkt-size-6,pkt-size-7,pkt-size-8,pkt-size-9
244.3.31.244,443,244.3.139.251,59384,TCP,2405,60,52,1195,52,119,52,722,78,75,0
244.3.210.255,1932,46.116.153.77,25,TCP,49958,48,40,64,84,71,46,1500,1500,1500,1500
77.197.128.64,34286,41.177.26.176,80,TCP,676,48,40,348,40,40,40,40,40,40,0
41.177.26.176,80,77.197.128.64,34286,TCP,11766,48,40,1500,1010,1500,57,1500,748,1500,933
41.177.244.177,63123,244.3.210.254,19813,TCP,64,64,0,0,0,0,0,0,0,0,0
46.116.153.77,25,244.3.210.255,1932,TCP,2940,48,98,121,78,80,54,40,40,40,40
41.177.98.57,61095,41.177.202.202,53,UDP,72,72,0,0,0,0,0,0,0,0,0
41.177.202.202,53,41.177.98.57,61095,UDP,299,299,0,0,0,0,0,0,0,0,0
41.177.98.57,61096,41.177.202.202,53,UDP,81,81,0,0,0,0,0,0,0,0,0
168.117.3.145,2424,244.3.160.239,80,TCP,1223,48,40,1055,40,40,0,0,0,0,0
244.3.160.239,80,168.117.3.145,2424,TCP,538,48,40,370,40,40,0,0,0,0,0
244.3.142.22,1125,41.177.98.220,7010,TCP,776,127,40,111,40,112,40,112,114,40,40
244.3.210.254,19813,41.177.244.177,63123,TCP,52,52,0,0,0,0,0,0,0,0,0
41.177.202.202,53,41.177.98.57,61096,UDP,275,275,0,0,0,0,0,0,0,0,0
41.177.98.57,61097,41.177.202.202,53,UDP,81,81,0,0,0,0,0,0,0,0,0
41.177.202.202,53,41.177.98.57,61097,UDP,275,275,0,0,0,0,0,0,0,0,0
244.3.160.239,33366,122.248.218.117,80,TCP,1335,48,40,1127,40,40,40,0,0,0,0
41.177.98.220,7010,244.3.142.22,1125,TCP,13146,40,1500,1500,1200,1500,1500,1462,906,446,40
244.3.202.153,138,244.3.202.235,138,UDP,229,229,0,0,0,0,0,0,0,0,0
244.3.4.197,138,244.3.41.91,138,UDP,687,229,229,229,0,0,0,0,0,0,0
122.248.218.117,80,244.3.160.239,33366,TCP,509,44,40,345,40,40,0,0,0,0,0
244.3.160.248,54403,41.177.26.55,80,TCP,717,48,40,389,40,40,40,40,40,40,0
